Entry Date,Entry Stop,Fare,Mode,Type,Route/Vehicle #
"Mar 7, 2026 4:52 PM",19th St & Passyunk Av,$0.00,Bus,Single Trip,17/7475
"Mar 7, 2026 12:38 PM",Broad St & Dickinson St,$0.00,Bus,Transfer,4/3103
"Mar 7, 2026 11:39 AM",11th St & Walnut St,$0.00,Bus,Single Trip,45/3538
"Mar 6, 2026 8:55 PM",Tasker-Morris,$0.00,Subway,Single Trip,B1/-
"Mar 6, 2026 11:23 AM",Walnut-Locust,$0.00,Subway,Transfer,B1/-
"Mar 6, 2026 9:26 AM",Tasker-Morris,$0.00,Subway,Single Trip,B1/-
"Mar 4, 2026 8:17 PM",Tasker-Morris,$0.00,Subway,Single Trip,B1/-
"Mar 4, 2026 9:14 AM",Walnut St & 12th St,$0.00,Bus,Transfer,999/3095
"Mar 4, 2026 9:12 AM",11th St & Girard Av,$0.00,Bus,Single Trip,2345/3815
"Mar 2, 2026 10:11 PM",16th St & Snyder Av,$0.00,Bus,Single Trip,2/3809
"Mar 2, 2026 4:41 PM",Tasker-Morris,$0.00,Subway,Single Trip,B1/-
"Feb 28, 2026 3:55 PM",Broad St & Dickinson St,$0.00,Bus,Single Trip,4/3528
"Feb 24, 2026 8:11 AM",Snyder,$0.00,Subway,Single Trip,BSL/-
"Feb 23, 2026 6:01 PM",Tasker-Morris,$0.00,Subway,Single Trip,BSL/-
"Feb 23, 2026 2:05 PM",Walnut-Locust,$0.00,Subway,Single Trip,B1/-
"Feb 23, 2026 11:42 AM",Tasker-Morris,$0.00,Subway,Single Trip,BSL/-
"Feb 22, 2026 8:03 AM",Tasker-Morris,$0.00,Subway,Single Trip,BSL/-
"Feb 21, 2026 10:42 AM",Walnut-Locust,$0.00,Subway,Transfer,B1/-
"Feb 21, 2026 9:35 AM",16th St & Jackson St,$0.00,Bus,Single Trip,2/8545
"Feb 20, 2026 3:59 PM",Snyder,$0.00,Subway,Transfer,BSL/-
"Feb 20, 2026 3:18 PM",Philadelphia Airport Terminal A,$0.00,Bus,Single Trip,37/3577
"Feb 19, 2026 7:40 AM",16th St & Jackson St,$0.00,Bus,Single Trip,2/3115
"Feb 18, 2026 4:31 PM",Tasker-Morris,$0.00,Subway,Single Trip,BSL/-
"Feb 18, 2026 12:02 PM",Front-Girard,$0.00,Subway,Transfer,MFL/-
"Feb 18, 2026 10:13 AM",Tasker-Morris,$0.00,Subway,Single Trip,BSL/-
"Feb 16, 2026 12:53 PM",15th/City Hall,$0.00,Subway,Transfer,BSL/-
"Feb 16, 2026 11:31 AM",Passyunk Av & Dickinson St,$0.00,Bus,Single Trip,45/3561
"Feb 15, 2026 11:21 AM",Snyder,$0.00,Subway,Single Trip,BSL/-
"Feb 14, 2026 7:22 PM",Tasker-Morris,$0.00,Subway,Single Trip,BSL/-
"Feb 14, 2026 6:58 PM",Broad St & Snyder Av,$0.00,Bus,Transfer,4/8444
"Feb 14, 2026 6:43 PM",Snyder,$0.00,Subway,Transfer,BSL/-
"Feb 14, 2026 5:40 PM",Tasker-Morris,$0.00,Subway,Single Trip,BSL/-
"Feb 13, 2026 7:42 AM",Snyder,$0.00,Subway,Single Trip,BSL/-
"Feb 12, 2026 6:28 PM",Snyder,$0.00,Subway,Single Trip,BSL/-
"Feb 12, 2026 9:51 AM",11th St & Chestnut St,$0.00,Bus,Single Trip,999/3108
"Feb 12, 2026 9:16 AM",Passyunk Av & Dickinson St,$0.00,Bus,Single Trip,999/3108
"Feb 10, 2026 3:48 PM",Broad St & Dickinson St,$0.00,Bus,Transfer,4/3318
"Feb 10, 2026 3:19 PM",Snyder,$0.00,Subway,Transfer,BSL/-
"Feb 10, 2026 2:42 PM",Tasker-Morris,$0.00,Subway,Single Trip,BSL/-
"Feb 8, 2026 10:38 PM",Walnut-Locust,$0.00,Subway,Single Trip,BSL/-
"Feb 8, 2026 5:19 PM",Tasker-Morris,$0.00,Subway,Single Trip,BSL/-
"Feb 8, 2026 12:20 PM",Snyder,$0.00,Subway,Single Trip,BSL/-
"Feb 7, 2026 6:14 PM",Broad St & Dickinson St,$0.00,Bus,Single Trip,702/8614
"Feb 7, 2026 11:50 AM",11th St & Washington Av,$0.00,Bus,Single Trip,45/3112
"Feb 5, 2026 8:59 PM",Tasker-Morris,$0.00,Subway,Single Trip,BSL/-
"Feb 4, 2026 7:44 AM",16th St & Snyder Av,$0.00,Bus,Single Trip,2/8556
"Feb 3, 2026 8:09 PM",16th St & Dickinson St,$0.00,Bus,Single Trip,2/3780
"Feb 1, 2026 10:09 AM",Walnut-Locust,$0.00,Subway,Single Trip,BSL/-
"Jan 31, 2026 6:03 PM",Tasker-Morris,$0.00,Subway,Single Trip,BSL/-
"Jan 30, 2026 8:37 PM",Walnut-Locust,$0.00,Subway,Single Trip,BSL/-
"Jan 30, 2026 3:40 PM",Tasker-Morris,$0.00,Subway,Single Trip,BSL/-
"Jan 28, 2026 6:52 PM",Tasker-Morris,$0.00,Subway,Single Trip,BSL/-
"Jan 28, 2026 4:43 PM",Snyder,$0.00,Subway,Transfer,BSL/-
"Jan 28, 2026 3:40 PM",Tasker-Morris,$0.00,Subway,Single Trip,BSL/-
"Jan 27, 2026 8:18 PM",15th St/City Hall,$0.00,Subway,Single Trip,MFL/-
"Jan 27, 2026 6:04 PM",Tasker-Morris,$0.00,Subway,Single Trip,BSL/-
"Jan 27, 2026 4:48 PM",11th St & Washington Av,$0.00,Bus,Transfer,45/3553
"Jan 27, 2026 4:02 PM",Pier 70 WalMart & Home Depot,$0.00,Bus,Single Trip,999/3534
"Jan 27, 2026 3:23 PM",Broad St & Snyder Av,$0.00,Bus,Transfer,999/8559
"Jan 27, 2026 3:07 PM",Snyder,$0.00,Subway,Transfer,BSL/-
"Jan 27, 2026 2:55 PM",Tasker-Morris,$0.00,Subway,Single Trip,BSL/-
"Jan 25, 2026 7:57 AM",Tasker-Morris,$0.00,Subway,Transfer,BSL/-
"Jan 25, 2026 7:04 AM",Snyder,$0.00,Subway,Single Trip,BSL/-
"Jan 24, 2026 11:18 AM",Tasker-Morris,$0.00,Subway,Single Trip,BSL/-
"Jan 22, 2026 4:44 PM",Broad St & S Penn Square,$0.00,Bus,Single Trip,4/3334
"Jan 22, 2026 4:22 PM",Market St & 10th St,$0.00,Bus,Transfer,17/7481
"Jan 22, 2026 3:56 PM",Walnut St & 16th St,$0.00,Bus,Transfer,42/3001
"Jan 22, 2026 3:29 PM",Tasker-Morris,$0.00,Subway,Single Trip,BSL/-
"Jan 21, 2026 9:51 PM",Lombard-South,$0.00,Subway,Single Trip,BSL/-
"Jan 21, 2026 4:45 PM",16th St & Snyder Av,$0.00,Bus,Transfer,2/3247
"Jan 21, 2026 3:08 PM",Tasker-Morris,$0.00,Subway,Single Trip,BSL/-
"Jan 21, 2026 10:22 AM",Walnut St & 12th St,$0.00,Bus,Transfer,999/3119
"Jan 21, 2026 8:49 AM",Passyunk Av & 10th St,$0.00,Bus,Single Trip,999/8440
"Jan 20, 2026 8:56 AM",16th St & Jackson St,$0.00,Bus,Single Trip,2/3326
"Jan 19, 2026 5:05 PM",Tasker-Morris,$0.00,Subway,Single Trip,BSL/-
"Jan 17, 2026 11:57 PM",Lombard-South,$0.00,Subway,Transfer,BSL/-
"Jan 17, 2026 10:15 PM",16th St & Dickinson St,$0.00,Bus,Single Trip,999/3576
"Jan 16, 2026 7:20 PM",Tasker-Morris,$0.00,Subway,Single Trip,BSL/-
"Jan 14, 2026 10:03 AM",11th St & Pine St,$0.00,Bus,Transfer,45/3589
"Jan 14, 2026 8:04 AM",Passyunk Av & 10th St,$0.00,Bus,Single Trip,45/3085
"Jan 13, 2026 8:48 AM",16th St & Shunk St,$0.00,Bus,Single Trip,2/8627
"Jan 12, 2026 9:46 PM",NRG Station,$0.00,Subway,Single Trip,BSL/-
"Jan 12, 2026 6:13 PM",Snyder,$0.00,Subway,Single Trip,BSL/-
"Jan 11, 2026 8:01 PM",Walnut-Locust,$0.00,Subway,Single Trip,BSL/-
"Jan 11, 2026 3:58 PM",19th St & Snyder Av,$0.00,Bus,Single Trip,17/7482
"Jan 11, 2026 12:51 PM",Tasker-Morris,$0.00,Subway,Single Trip,BSL/-
"Jan 10, 2026 5:19 PM",Tasker-Morris,$0.00,Subway,Single Trip,BSL/-
"Jan 10, 2026 10:45 AM",Snyder,$0.00,Subway,Single Trip,BSL/-
"Jan 9, 2026 4:04 PM",16th St & Dickinson St,$0.00,Bus,Single Trip,2/8540
"Jan 9, 2026 9:50 AM",11th St & Chestnut St,$0.00,Bus,Single Trip,2345/8461
"Jan 8, 2026 3:09 PM",7th St & Chestnut St,$0.00,Bus,Transfer,47/3558
"Jan 8, 2026 1:22 PM",Passyunk Av & Dickinson St,$0.00,Bus,Single Trip,45/3550
"Jan 8, 2026 7:38 AM",16th St & Snyder Av,$0.00,Bus,Single Trip,2/8516
"Jan 7, 2026 8:54 AM",16th St & Snyder Av,$0.00,Bus,Single Trip,999/3776
"Jan 6, 2026 10:06 PM",NRG Station,$0.00,Subway,Single Trip,BSL/-
"Jan 6, 2026 5:46 PM",Tasker-Morris,$0.00,Subway,Single Trip,BSL/-
"Jan 4, 2026 4:49 PM",19th St & Wolf St,$0.00,Bus,Single Trip,17/7474
"Jan 3, 2026 3:47 PM",Tasker-Morris,$0.00,Subway,Single Trip,BSL/-
